emp_no,first_name,last_name,gender,to_date,salary
10001,Georgi,Facello,M,9999-01-01,60117
10198,Pranav,Furedi,M,9999-01-01,44076
10215,Xiaobin,Duclos,M,9999-01-01,43944
10224,Leon,Trogemann,M,9999-01-01,40000
10233,Lein,Vendrig,F,9999-01-01,40000
10258,Basil,Ishibashi,F,9999-01-01,66280
10272,Yishai,Cannane,M,9999-01-01,58070
10004,Chirstian,Koblick,M,9999-01-01,40054
10009,Sumant,Peac,F,9999-01-01,60929
10018,Kazuhide,Peha,F,9999-01-01,55881
10282,Hercules,Benzmuller,M,9999-01-01,40000
10283,Kauko,Birjandi,M,9999-01-01,40000
10035,Alain,Chappelet,M,9999-01-01,41538
10053,Sanjiv,Zschoche,F,9999-01-01,67854
10058,Berhard,McFarlin,M,9999-01-01,52787
10066,Kwee,Schusler,M,9999-01-01,69736
10067,Claudi,Stavenow,M,9999-01-01,44642
10326,Masali,Czap,F,9999-01-01,40000
10070,Reuven,Garigliano,M,9999-01-01,55999
10072,Hironoby,Sidou,F,9999-01-01,40000
10076,Erez,Ritzmann,F,9999-01-01,47319
10088,Jungsoon,Syrzycki,F,9999-01-01,65957
10100,Hironobu,Haraldson,F,9999-01-01,54398
10340,Djelloul,Laventhal,M,9999-01-01,68132
10103,Akemi,Birch,M,9999-01-01,68158
10126,Kayoko,Valtorta,M,9999-01-01,40000
10347,Pradeep,Kaminger,M,9999-01-01,42199
10355,Satyanarayana,Cochrane,M,9999-01-01,70434
10356,Vasilis,Standera,M,9999-01-01,45376
10129,Armond,Peir,M,9999-01-01,40000
10364,Nakhoon,Dengi,M,9999-01-01,51401
10130,Nishit,Casperson,M,9999-01-01,40000
10134,Diederik,Siprelle,M,9999-01-01,40000
10138,Perry,Shimshoni,M,9999-01-01,53574
10150,Zhenbing,Perng,F,9999-01-01,70122
10372,Anneli,Frijda,F,9999-01-01,54505
10153,Heekeun,Majewski,M,9999-01-01,54246
10157,Nigel,Aloisi,M,9999-01-01,48770
10387,Parto,Wrigley,F,9999-01-01,61374
10564,Jianhao,Thisen,M,9999-01-01,46660
10396,Sibyl,Rahier,M,9999-01-01,40393
10623,Aleksander,Danlos,F,9999-01-01,60268
10628,Krisda,Krogh,M,9999-01-01,41650
10631,Inderjeet,Chaudhuri,M,9999-01-01,40000
10642,Hirochika,Narlikar,M,9999-01-01,40000
10653,Otmar,Feinberg,M,9999-01-01,40000
10671,Parviz,Rebaine,M,9999-01-01,74037
10402,Volkmar,Ebeling,M,9999-01-01,40000
10404,Prodip,Rosti,F,9999-01-01,51647
10676,Valeri,Danley,F,9999-01-01,58226
10426,Arunas,Luce,F,9999-01-01,65757
10429,Martien,Improta,F,9999-01-01,40000
10432,Hisao,Tiemann,F,9999-01-01,40000
10451,Bodh,Ranta,F,9999-01-01,46275
10453,Tsvetan,Matzel,F,9999-01-01,40000
10463,Ung,Zaiane,M,9999-01-01,66480
10486,Amstein,Kossowski,F,9999-01-01,71692
10494,Yakkov,Servieres,F,9999-01-01,50094
